_id,n,ax,ay,az,gx,gy,gz,counter,timestamp,label
663a1d50f5b946a2b5ee5cc1,946,-0.49292,-0.203857,0.974609,7.541985,-78.106873,121.908394,573711,1715084623905,1
663a1d50f5b946a2b5ee5cc2,947,-0.651123,-0.281494,1.110596,-12.343512,-93.290077,115.190842,573712,1715084623910,1
663a1d50f5b946a2b5ee5cc3,948,-0.550049,-0.400879,1.092529,-18.992367,-101.740456,114.053436,573713,1715084623916,1
663a1d50f5b946a2b5ee5cc4,949,-0.343018,-0.473389,0.92749,-11.145039,-93.549622,111.877861,573714,1715084623919,1
663a1d50f5b946a2b5ee5cc5,950,-0.39624,-0.547363,1.010254,1.931298,-90.221375,100.328247,573715,1715084623922,1
663a1d50f5b946a2b5ee5cc6,951,-0.54541,-0.498047,1.045654,17.435114,-89.213737,87.755722,573716,1715084623926,1
663a1d50f5b946a2b5ee5cc7,952,-0.558594,-0.380859,0.97168,35.167938,-84.007637,78.152672,573717,1715084623929,1
663a1d50f5b946a2b5ee5cc8,953,-0.508789,-0.309814,0.973633,52.335876,-77.488548,69.786263,573718,1715084623934,1
663a1d50f5b946a2b5ee5cc9,954,-0.445068,-0.299316,0.944824,63.305344,-69.068703,62.541985,573719,1715084623938,1
663a1d50f5b946a2b5ee5cca,955,-0.351074,-0.266357,0.865479,65.114502,-60.961834,55.236641,573720,1715084623941,1
663a1d50f5b946a2b5ee5ccb,956,-0.310059,-0.244873,0.851807,55.450382,-52.511452,46.38168,573721,1715084623944,1
663a1d50f5b946a2b5ee5ccc,957,-0.322998,-0.201416,0.856201,43.190838,-38.717556,45.732826,573722,1715084623947,1
663a1d50f5b946a2b5ee5ccd,958,-0.380371,-0.163818,0.894775,31.877863,-25.671755,52.335876,573723,1715084623950,1
663a1d50f5b946a2b5ee5cce,959,-0.382568,-0.115967,0.945557,25.259542,-18.496183,63.045803,573724,1715084623953,1
663a1d50f5b946a2b5ee5ccf,960,-0.362061,-0.152344,0.848145,16.770992,-8.549619,71.274811,573725,1715084623956,1
663a1d50f5b946a2b5ee5cd0,961,-0.399902,-0.117676,0.735596,7.816794,0.21374,79.564888,573726,1715084623959,1
663a1d50f5b946a2b5ee5cd1,962,-0.483398,-0.014893,0.605713,-4.007634,8.648855,78.412216,573727,1715084623961,1
663a1d50f5b946a2b5ee5cd2,963,-0.528564,-0.166016,0.411377,3.465649,21.832062,67.687019,573728,1715084623964,1
663a1d50f5b946a2b5ee5cd3,964,-0.509766,-0.115967,0.570801,11.717557,32.992367,65.374046,573729,1715084623967,1
663a1d50f5b946a2b5ee5cd4,965,-0.484863,-0.010254,0.683838,13.206107,38.885498,69.809158,573730,1715084623971,1
663a1d50f5b946a2b5ee5cd5,966,-0.424072,-0.043213,0.781738,14.358779,40.954197,69.381676,573731,1715084623973,1
663a1d50f5b946a2b5ee5cd6,967,-0.465088,0.068848,0.849365,20.412214,40.229008,71.610687,573732,1715084623977,1
663a1d50f5b946a2b5ee5cd7,968,-0.492676,0.134521,0.839844,23.267176,38.549618,73.129768,573733,1715084623980,1
663a1d50f5b946a2b5ee5cd8,969,-0.512207,0.156982,0.82373,26.068703,34.70229,73.015266,573734,1715084623982,1
663a1d50f5b946a2b5ee5cd9,970,-0.548584,0.06543,0.87793,28.625954,26.503817,67.312981,573735,1715084623985,1
663a1d50f5b946a2b5ee5cda,971,-0.533447,0.098389,0.828857,23.145039,25.480917,61.557251,573736,1715084623988,1
663a1d50f5b946a2b5ee5cdb,972,-0.525146,0.064697,0.831543,0.618321,22.32061,47.847328,573737,1715084623993,1
663a1d51f5b946a2b5ee5cdc,973,-0.432373,0.084717,0.859619,-7.175572,21.954199,44.152672,573738,1715084623996,1
663a1d51f5b946a2b5ee5cdd,974,-0.414307,0.0979,0.885254,-6.274809,21.145039,44.961834,573739,1715084623999,1
663a1d51f5b946a2b5ee5cde,975,-0.372314,0.099854,0.900146,3.740458,16.732824,47.748093,573740,1715084624002,1
663a1d51f5b946a2b5ee5cdf,976,-0.401611,0.121826,0.895996,14.435115,13.145039,49.114502,573741,1715084624005,1
663a1d51f5b946a2b5ee5ce0,977,-0.441895,0.122559,0.85083,20.763359,12.229008,47.70229,573742,1715084624007,1
663a1d51f5b946a2b5ee5ce1,978,-0.455566,0.106445,0.847168,21.007633,10.870229,44.900764,573743,1715084624010,1
663a1d51f5b946a2b5ee5ce2,979,-0.450928,0.119629,0.848389,18.70229,13.106871,41.64122,573744,1715084624013,1
663a1d51f5b946a2b5ee5ce3,980,-0.464844,0.111328,0.694824,22.32061,24.732824,37.70229,573745,1715084624016,1
663a1d51f5b946a2b5ee5ce4,981,-0.342285,0.0625,0.754395,23.099237,21.954199,38.236641,573746,1715084624019,1
663a1d51f5b946a2b5ee5ce5,982,-0.4021,0.056641,0.891602,21.427481,19.580153,39.0229,573747,1715084624021,1
663a1d51f5b946a2b5ee5ce6,983,-0.437744,0.107178,1.06543,25.374046,10.862596,40.274811,573748,1715084624024,1
663a1d51f5b946a2b5ee5ce7,984,-0.592773,0.103027,1.091797,27.625954,0.717557,38.671757,573749,1715084624026,1
663a1d51f5b946a2b5ee5ce8,985,-0.465332,0.10083,1.050537,29.137405,-7.748092,38.793892,573750,1715084624029,1
663a1d51f5b946a2b5ee5ce9,986,-0.295166,0.10791,0.87793,34.984734,-3.122137,41.29771,573751,1715084624033,1
663a1d51f5b946a2b5ee5cea,987,-0.265137,0.048584,0.867188,41.099236,2.725191,43.0229,573752,1715084624036,1
663a1d51f5b946a2b5ee5ceb,988,-0.279053,0.025635,0.901611,46.099236,6.717557,43.137405,573753,1715084624039,1
663a1d51f5b946a2b5ee5cec,989,-0.283691,-0.019531,1.041748,55.854961,9.045801,40.152672,573754,1715084624041,1
663a1d51f5b946a2b5ee5ced,990,-0.287109,0.013184,1.060791,66.977097,9.053435,40.778625,573755,1715084624044,1
663a1d51f5b946a2b5ee5cee,991,-0.300293,-0.003662,1.137695,72.175575,2.137405,41.083969,573756,1715084624048,1
663a1d51f5b946a2b5ee5cef,992,-0.368408,0.046875,1.202148,70.931297,-8.664123,51.374046,573757,1715084624051,1
663a1d51f5b946a2b5ee5cf0,993,-0.37793,0.005127,1.261963,61.64122,-7.603054,60.076336,573758,1715084624053,1
663a1d51f5b946a2b5ee5cf1,994,-0.379883,-0.049805,1.273438,52.61832,-3.832061,63.64122,573759,1715084624056,1
663a1d51f5b946a2b5ee5cf2,995,-0.401367,-0.126953,1.205566,47.099236,-0.671756,63.282444,573760,1715084624060,1
663a1d51f5b946a2b5ee5cf3,996,-0.38501,-0.235352,1.189941,47.610687,1.549618,62.557251,573761,1715084624064,1
663a1d51f5b946a2b5ee5cf4,997,-0.297852,-0.230713,1.212158,46.526718,0.480916,62.648853,573762,1715084624068,1
663a1d51f5b946a2b5ee5cf5,998,-0.275146,-0.25293,1.241211,45.29771,2.10687,61.412212,573763,1715084624071,1
663a1d51f5b946a2b5ee5cf6,999,-0.246582,-0.254639,1.335693,41.282444,5.610687,55.984734,573764,1715084624074,1
663a1d51f5b946a2b5ee5cf7,1000,-0.233887,-0.222168,1.386719,36.786259,10.053435,48.786259,573765,1715084624078,1
663a1d51f5b946a2b5ee5cf8,1001,-0.245605,-0.160645,1.425781,31.70229,12.198473,39.488548,573766,1715084624081,1
663a1d51f5b946a2b5ee5cf9,1002,-0.271973,-0.120117,1.453369,28.19084,12.709924,31.503817,573767,1715084624084,1
663a1d51f5b946a2b5ee5cfa,1003,-0.318115,-0.126709,1.455322,24.419847,13.412213,19.893129,573768,1715084624407,1
663a1d51f5b946a2b5ee5cfb,1004,-0.335693,-0.167725,1.497559,19.519083,13.893129,12.076336,573769,1715084624412,1
663a1d52f5b946a2b5ee5cfc,1005,-0.35791,-0.211182,1.55249,14.687023,13.641221,7.038168,573770,1715084624415,1
663a1d52f5b946a2b5ee5cfd,1006,-0.405518,-0.292725,1.598877,10.068703,12.709924,1.374046,573771,1715084624418,1
